,name,phone,latitude,longitude,addtional_info,type,address,url
10,Domino's Pizza,+17188824393,40.89855,-73.85498,Yelp Rating: 1.5 Reviews: 46,restaurants,686C Nereid Ave,https://www.yelp.com/biz/dominos-pizza-bronx-19?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11,Jerk House,+17185155375,40.89464,-73.85648,Yelp Rating: 3.5 Reviews: 33,restaurants,4246 White Plains,https://www.yelp.com/biz/jerk-house-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
0,Rite Aid,+17183253100,40.8965712454629,-73.8447117805481,Yelp Rating: 4.0 Reviews: 4,food,4232 Baychester Ave,https://www.yelp.com/biz/rite-aid-bronx-8?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
1,Lollipops Gelato,+17189948755,40.893625,-73.843656,Yelp Rating: 4.5 Reviews: 20,food,4120 Baychester Ave,https://www.yelp.com/biz/lollipops-gelato-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
2,Carvel,+17186526827,40.89033,-73.84859,Yelp Rating: 2.5 Reviews: 12,food,1006 E 233rd St,https://www.yelp.com/biz/carvel-bronx-3?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
3,Liquor Land,+17186525520,40.89096,-73.85056,Yelp Rating: 4.5 Reviews: 2,food,930 E 233rd St,https://www.yelp.com/biz/liquor-land-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
4,Dunkin' Donuts,+17182311132,40.89053,-73.8492,Yelp Rating: 1.0 Reviews: 5,food,980 E 233rd St,https://www.yelp.com/biz/dunkin-donuts-bronx-40?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
5,Indulging Creations,+19147683502,40.8907814025879,-73.8575820922852,Yelp Rating: 5.0 Reviews: 1,food,,https://www.yelp.com/biz/indulging-creations-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
6,Jackie's West Indian Bakery,+17189942541,40.8894499,-73.84331,Yelp Rating: 4.0 Reviews: 28,food,1203 E 233rd St,https://www.yelp.com/biz/jackies-west-indian-bakery-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
7,Fine Fare,+17186528456,40.889475039359,-73.8431365400954,Yelp Rating: 3.0 Reviews: 1,food,1199 233rd St,https://www.yelp.com/biz/fine-fare-bronx-2?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
8,GN Gourmet Deli,+17185470700,40.89826,-73.8542499,Yelp Rating: 5.0 Reviews: 1,food,4398 White Plains Rd,https://www.yelp.com/biz/gn-gourmet-deli-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
9,Paul's Caribbean Bakery,+17183245608,40.8977611362934,-73.8547707349062,Yelp Rating: 5.0 Reviews: 6,food,4374 White Plains Rd,https://www.yelp.com/biz/pauls-caribbean-bakery-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11,Associated Supermarket,+17186533460,40.8881639,-73.8469629,Yelp Rating: 3.0 Reviews: 1,food,4141 Laconia Ave,https://www.yelp.com/biz/associated-supermarket-bronx-5?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
0,Wakefield Eye Care,+17183255466,40.8987,-73.84953,Yelp Rating: 3.0 Reviews: 2,health,1825 Nereid Ave,https://www.yelp.com/biz/wakefield-eye-care-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
1,Rest Medical Care,+17183357378,40.890831,-73.85009,Yelp Rating: 1.0 Reviews: 1,health,944 E 233rd St,https://www.yelp.com/biz/rest-medical-care-east-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
2,Cholankeril Thomas V DDS,+17189946200,40.89526,-73.85451,Yelp Rating: 1.0 Reviews: 1,health,4303 Byron Ave,https://www.yelp.com/biz/cholankeril-thomas-v-dds-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
3,Baychester Smile Saver,+17186541880,40.88949,-73.84326,Yelp Rating: 1.0 Reviews: 2,health,1205 E 233rd St,https://www.yelp.com/biz/baychester-smile-saver-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
4,Wakefield Medical Professional,+17189946755,40.89838,-73.85353,Yelp Rating: 2.0 Reviews: 10,health,711 Nereid Ave,https://www.yelp.com/biz/wakefield-medical-professional-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
5,"Madhu S Dagli, MD, PC",+17186558600,40.88948,-73.84319,Yelp Rating: 1.0 Reviews: 1,health,1207 E 233rd St,https://www.yelp.com/biz/madhu-s-dagli-md-pc-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
6,Adepetu Adewale Dds,+17185475321,40.89877,-73.85598,Yelp Rating: 1.0 Reviews: 2,health,660 Nereid Ave,https://www.yelp.com/biz/adepetu-adewale-dds-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
7,Balm Of Gilead Medical Office,+17185474077,40.902557,-73.850713,Yelp Rating: 1.0 Reviews: 2,health,4626 White Plains Rd,https://www.yelp.com/biz/balm-of-gilead-medical-office-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
8,Akalonu Augustine MD,+17188826388,40.89413,-73.8591,Yelp Rating: 5.0 Reviews: 1,health,657 E 233rd St,https://www.yelp.com/biz/akalonu-augustine-md-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
9,"Leonardo Vando, MD",+17189441414,40.89413,-73.8591,Yelp Rating: 1.5 Reviews: 10,health,657 E 233rd St,https://www.yelp.com/biz/leonardo-vando-md-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
10,"Rodriguez Bartholome, MD",+17183243100,40.89442,-73.85963,Yelp Rating: 4.0 Reviews: 1,health,631 E 233rd St,https://www.yelp.com/biz/rodriguez-bartholome-md-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
0,Black Tie Luxury Car Service,+18003856077,40.900539,-73.839501,Yelp Rating: 5.0 Reviews: 4,transport,175 Huguenot Ave,https://www.yelp.com/biz/black-tie-luxury-car-service-new-rochelle?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
1,New Laconia Radio Dispatcher,+17187982222,40.88321,-73.84976,Yelp Rating: 1.0 Reviews: 4,transport,3934 Laconia Ave,https://www.yelp.com/biz/new-laconia-radio-dispatcher-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
2,Sky-Line Taxi & Limousine,+17188812777,40.88327,-73.856,Yelp Rating: 1.0 Reviews: 1,transport,3850 Bronxwood Ave,https://www.yelp.com/biz/sky-line-taxi-and-limousine-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
3,B Wiltshire Limo,+17182312333,40.87934,-73.8433699,Yelp Rating: 5.0 Reviews: 1,transport,1329 E 222nd St,https://www.yelp.com/biz/b-wiltshire-limo-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
4,Newtown Private Car Service,+17187987802,40.88030397892,-73.8382389396429,Yelp Rating: 1.0 Reviews: 2,transport,3455A Baychester Ave,https://www.yelp.com/biz/newtown-private-car-service-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
5,Leesel Transportation Corp,+17188811010,40.8881559,-73.8671409,Yelp Rating: 2.5 Reviews: 5,transport,3900 Webster Ave,https://www.yelp.com/biz/leesel-transportation-corp-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
6,J & R Tours,+19146685050,40.892502,-73.824883,Yelp Rating: 4.0 Reviews: 12,transport,80 Edison Ave,https://www.yelp.com/biz/j-and-r-tours-mount-vernon?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
7,New Line Progressive Taxi,+19146646466,40.9074544928696,-73.8321149677919,Yelp Rating: 1.0 Reviews: 8,transport,72 E 3rd St,https://www.yelp.com/biz/new-line-progressive-taxi-mount-vernon?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
8,Home & Away,+19149649300,40.9132078,-73.849718,Yelp Rating: 1.0 Reviews: 2,transport,156 Mount Vernon Ave,https://www.yelp.com/biz/home-and-away-mount-vernon?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
9,Newer Style Limo,+19143950000,40.9133339,-73.8496388,Yelp Rating: 1.0 Reviews: 2,transport,155 Mount Vernon Ave,https://www.yelp.com/biz/newer-style-limo-mount-vernon-2?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
0,Kennedy Fried Chicken,+17186713636,40.876378,-73.829852,Yelp Rating: 2.0 Reviews: 3,restaurants,157 Dreiser Lp,https://www.yelp.com/biz/kennedy-fried-chicken-bronx-3?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
1,Guang Hui Restaurant Incorporated,+17188623288,40.876441,-73.829022,Yelp Rating: 2.5 Reviews: 7,restaurants,125 Dreiser Lp,https://www.yelp.com/biz/guang-hui-restaurant-incorporated-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
2,Capri II Pizzeria,+17186713822,40.8764332526622,-73.8299401968654,Yelp Rating: 2.5 Reviews: 10,restaurants,149 Dreiser Lp,https://www.yelp.com/biz/capri-ii-pizzeria-new-york?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
3,Xin Hi,+17183792200,40.87033,-73.82848,Yelp Rating: 3.5 Reviews: 31,restaurants,2051 Bartow Ave,https://www.yelp.com/biz/xin-hi-east-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
4,Arby’s,+13478438244,40.870226,-73.8286215,Yelp Rating: 2.0 Reviews: 1,restaurants,2059 Bartow Ave,https://www.yelp.com/biz/arby-s-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
5,Jr Gourmet Deli,+17186710717,40.8696643,-73.8287523,Yelp Rating: 5.0 Reviews: 5,restaurants,2045 Bartow Ave,https://www.yelp.com/biz/jr-gourmet-deli-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
6,Bartow Pizza,+17186717898,40.8699649671723,-73.8294126045548,Yelp Rating: 2.0 Reviews: 15,restaurants,2045 Bartow Ave,https://www.yelp.com/biz/bartow-pizza-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
7,Capri IV Deli Inc,+17183203979,40.86981,-73.82821,Yelp Rating: 3.5 Reviews: 8,restaurants,2073 Bartow Ave,https://www.yelp.com/biz/capri-iv-deli-inc-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
8,The Dumplin Cove,+17186533143,40.87583,-73.83616,Yelp Rating: 3.0 Reviews: 58,restaurants,1530 E 222nd St,https://www.yelp.com/biz/the-dumplin-cove-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
9,Bagels On Bartow,+17186715696,40.8692951,-73.8299709,Yelp Rating: 4.5 Reviews: 46,restaurants,2033 Bartow Ave,https://www.yelp.com/biz/bagels-on-bartow-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
10,Sangria Cafe,+13478436486,40.8694235021877,-73.8272849569855,Yelp Rating: 3.5 Reviews: 140,restaurants,2085 Bartow Ave,https://www.yelp.com/biz/sangria-cafe-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11,McDonald's,+17183202749,40.8687059243768,-73.830585321457,Yelp Rating: 2.0 Reviews: 20,restaurants,2010 Bartow Ave,https://www.yelp.com/biz/mcdonalds-bronx-12?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
1,Palace Liquor & Wine Store,+17183798087,40.8773642,-73.828272,Yelp Rating: 4.5 Reviews: 2,food,117 Dreiser Lp,https://www.yelp.com/biz/palace-liquor-and-wine-store-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
2,Food Universe,+17186717391,40.8776508,-73.8282556,Yelp Rating: 1.0 Reviews: 1,food,111 Dreiser Lp,https://www.yelp.com/biz/food-universe-bronx-2?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
3,Bravo Supermarket,+17183200930,40.8697163,-73.8280739,Yelp Rating: 1.0 Reviews: 3,food,2061 Bartow Ave,https://www.yelp.com/biz/bravo-supermarket-bronx-6?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
4,Bartow Liquors,+17183792800,40.869515,-73.8287037,Yelp Rating: 3.5 Reviews: 6,food,2057 Bartow Ave,https://www.yelp.com/biz/bartow-liquors-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
5,Rite Aid,+17183798022,40.8695731,-73.8282421,Yelp Rating: 1.5 Reviews: 5,food,2063 Bartow Ave,https://www.yelp.com/biz/rite-aid-bronx-14?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
7,7 Eleven - Bronx,+17183202878,40.8692482280662,-73.8315668772622,Yelp Rating: 2.5 Reviews: 5,food,500 Baychester Ave,https://www.yelp.com/biz/7-eleven-bronx-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
8,Stop&Shop,+17188623279,40.87931,-73.8260023,Yelp Rating: 5.0 Reviews: 1,food,753 Co Op City Blvd,https://www.yelp.com/biz/stop-and-shop-bronx-2?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
0,Benjamin V Katayev D D S P C,+17183791700,40.8755790037068,-73.8289633137203,Yelp Rating: 1.5 Reviews: 10,health,140 De Kruif Place,https://www.yelp.com/biz/benjamin-v-katayev-d-d-s-p-c-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
1,Cohens Gentle Dental,+17185854400,40.8715014213641,-73.8304858481825,Yelp Rating: 3.0 Reviews: 2,health,100 Alcott Pl,https://www.yelp.com/biz/cohens-gentle-dental-bronx-7?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
2,Creating Smiles,+17183203181,40.8716894074814,-73.8303688454403,Yelp Rating: 1.0 Reviews: 1,health,120 Alcott Place,https://www.yelp.com/biz/creating-smiles-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
3,"Dreiser Physical Therapy & Rehabilitation,   PC",+13478430900,40.8776518,-73.8280724,Yelp Rating: 4.0 Reviews: 2,health,145 Dreiser Lp,https://www.yelp.com/biz/dreiser-physical-therapy-and-rehabilitation-pc-new-york?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
4,Statcare Urgent Care - Bronx Bartow Mall,+18559367362,40.8700064141924,-73.8283633813262,Yelp Rating: 3.0 Reviews: 12,health,2063A Bartow Ave,https://www.yelp.com/biz/statcare-urgent-care-bronx-bartow-mall-bronx-2?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
5,Bronx Eye Care,+17183656300,40.870046,-73.828162,Yelp Rating: 2.0 Reviews: 39,health,2075 Bartow Ave,https://www.yelp.com/biz/bronx-eye-care-bronx-3?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
6,City Smiles Dental,+17183794734,40.8696395158768,-73.82802978158,Yelp Rating: 4.5 Reviews: 3,health,2063-B Bartow Ave,https://www.yelp.com/biz/city-smiles-dental-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
7,Regeis Care Center,+17183203700,40.87723,-73.83543,Yelp Rating: 2.5 Reviews: 4,health,3200 Baychester Ave,https://www.yelp.com/biz/regeis-care-center-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
8,Bay Park Nursing Rehab,+17182396444,40.879642,-73.829087,Yelp Rating: 2.0 Reviews: 4,health,801 Co Op City Blvd,https://www.yelp.com/biz/bay-park-nursing-rehab-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
9,Workmen's Circle Home For the Aged,+17183798100,40.874195,-73.837463,Yelp Rating: 5.0 Reviews: 1,health,3155 Grace Ave,https://www.yelp.com/biz/workmens-circle-home-for-the-aged-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
10,Gang Gregory S,+17186522140,40.87894,-73.82426,Yelp Rating: 3.0 Reviews: 3,health,140 Casals Pl Ofc 1,https://www.yelp.com/biz/gang-gregory-s-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
2,Community Car Service,+17187087587,40.8711364602445,-73.8478088153446,Yelp Rating: 1.0 Reviews: 1,transport,1322 E Gun Hill Rd,https://www.yelp.com/biz/community-car-service-east-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
5,Company-Op City Luxury Car & Limousine Svce,+17186713333,40.8531,-73.82758,Yelp Rating: 1.0 Reviews: 1,transport,3287B Westchester Ave,https://www.yelp.com/biz/company-op-city-luxury-car-and-limousine-svce-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
7,Ojay Luxury Car Service,+17184099000,40.85499,-73.85462,Yelp Rating: 3.5 Reviews: 3,transport,2024 williamsbridge rd,https://www.yelp.com/biz/ojay-luxury-car-service-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
