,additional_info,address,latitude,longitude,name,phone_number,type,url
44,Property Type: Multifamily,3108 W. Franklin Blvd.,41.89020402,-87.70435734,Nelson Mandela Apts.,773-227-6332,Affordable Housing,
45,Property Type: Multifamily,5751-59 S. Michigan Ave.,41.78956141,-87.62218963,Harriett Tubman Apts.,773-752-9760,Affordable Housing,
46,Property Type: Senior,6146 S. Kenwood Ave.,41.78280346,-87.59326131,Butler Apts.,773-955-9290,Affordable Housing,
47,Property Type: Senior,4040 N. Sheridan Road,41.95568502,-87.65472513,Ruth Shriman House,773-665-2210,Affordable Housing,
48,Property Type: Multifamily,3341 W. Ohio St.,41.89174085,-87.71055924,Rosa Parks Apts.,773-227-6332,Affordable Housing,
49,Property Type: Multifamily,1816 N. St. Louis Ave.,41.91421838,-87.71358429,Madison Renaissance Apts.,773-227-1366,Affordable Housing,
50,Property Type: Multifamily,837 E. 47th St.,41.80944088,-87.60503342,Drexel Preservation,773-624-4901,Affordable Housing,
51,Property Type: ARO,5009 N. Sheridan Road,41.97361773,-87.65478924,Somerset Place Apts.,317-596-2168,Affordable Housing,
52,Property Type: Multifamily,2425 W. Adams St.,41.8784239,-87.68736835,Jackson Square West End,312-492-6645,Affordable Housing,
53,Property Type: Multifamily,2451-57 N. Sacramento Ave.,41.92627863,-87.70220924,Rev. Daniel Alvarez Apts.,773-772-4063,Affordable Housing,
54,Property Type: Multifamily,3604 S. State St.,41.82901759,-87.62666295,Park Boulevard IIA,773-548-8792,Affordable Housing,
55,Property Type: Multifamily,1313-15 S. Fairfiled Ave.,41.86422845,-87.69442766,Park Douglas,773-893-4800,Affordable Housing,
56,Property Type: Multigfamily,731 E. 50th Pl,41.80304222,-87.60758851,Cornerstone Apts.,312-577-5555,Affordable Housing,
57,Property Type: Supportive Housing,3300 W. Maypole Ave.,41.88369802,-87.70890250000001,East Park Apts.,773-826-3300,Affordable Housing,
58,Property Type: Multifamily,636 E. 50th St.,41.80413302,-87.60993412,Cornerstone Apts.,312-577-5555,Affordable Housing,
59,Property Type: Senior,2800 W. Montrose Ave.,41.96135865,-87.69854417,Senior Suites of Ravenswood Manor,773-509-9333,Affordable Housing,
60,Property Type: Senior,8915 S. Loomis St.,41.73164453,-87.65793186,Brainerd Senior Center,773-429-1501,Affordable Housing,
61,Property Type: ARO,1911-21 W. Irving Park Rd.,41.95407205,-87.67682369,1911-21 W. Irving Park Rd.,312-285-3749,Affordable Housing,
62,Property Type: Multifamily,545 W. Division St.,41.90360901,-87.6430754,Parkside-I Rental,312-944-8500,Affordable Housing,
63,Property Type: Multifamily,3215 W. Huron St.,41.89360833,-87.70720187,Rosa Parks Apts.,773-227-6332,Affordable Housing,
64,Property Type: Multifamily,3220 W. Division St.,41.90293349,-87.70762292,La Estancia,773-227-6332,Affordable Housing,
65,Property Type: 65+/Supportive,4339-47 W. 18th Pl,41.85577153,-87.73388790000001,Montclare Sr. Residences SLF of Lawndale,773-277-0288,Affordable Housing,
66,Property Type: Senior,1400 S. Indiana Ave.,41.86402666,-87.62262043,Senior Suites of Central Station,312-913-9333,Affordable Housing,
67,Property Type: Multifamily,1061 E. 41st Place,41.81978129,-87.59992527,Lake Park Crescent,773-268-0200,Affordable Housing,
68,Property Type: Senior,2626 W. 63rd St.,41.77928099,-87.68967949,Churchview Manor Independent Living,773-925-0730,Affordable Housing,
69,Property Type: Senior,5801 N. Pulaski Road,41.98593151,-87.72836921,J. Michael Fitzgerald Apts.,773-588-1725,Affordable Housing,
70,Property Type: Senior,4239 N. Oak Park Ave.,41.95769221,-87.79754403,Autumn Green at Wright Campus,773-202-3388,Affordable Housing,
71,Property Type: Multifamily,2600 S. King Dr.,41.84565291,-87.61781639,South Park Plaza,312-674-9210,Affordable Housing,
72,Property Type: Multifamily,817 E. 64th St.,41.77849343,-87.60507242,65th Street Apts.,773-684-2056,Affordable Housing,
73,Property Type: ARO,1801-15 W. Argyle St.,41.97235677,-87.67492225,Ravenswood Terrace,773-444-8733,Affordable Housing,
74,Property Type: ARO,2201-31 N. Milwaukee Ave.,41.92090376,-87.6938545,2211 N. Milwaukee Ave.,773-327-4975,Affordable Housing,
75,Property Type: Senior,4800 W. George St.,41.93346293,-87.74679225,Cicero & George Elderly Apts.,312-291-5420,Affordable Housing,
76,Property Type: Multifamily,3114 W. Franklin Blvd.,41.8902013,-87.70458681,Nelson Mandela Apts.,773-227-6332,Affordable Housing,
77,Property Type: Senior,15 E. 112th Place,41.68976374,-87.62239508,Pullman Suites,773-840-3993,Affordable Housing,
78,Property Type: Senior,3916 W. Washington Blvd.,41.88196929,-87.72399261,Fannie Emanuel Apts.,312-913-5812,Affordable Housing,
79,Property Type: Multifamily,4448 S. State St.,41.81319493,-87.6263368,Legends South - Savoy Square,773-855-2209,Affordable Housing,
80,Property Type: Multifamily,847-49 W. Sunnyside Ave.,41.9635354,-87.65179619,Sunnyside Kenmore Apts.,773-769-3116,Affordable Housing,
81,Property Type: Senior,5038 W. Armitage Ave.,41.91696054,-87.75247249,Crystal Courts/Anixter Center,773-385-9080,Affordable Housing,
82,Property Type: Multifamily,611 E. 50th St.,41.80389906,-87.61083190000001,Cornerstone Apts.,312-577-5555,Affordable Housing,
83,Property Type: ARO,4801 N. Ravenswood Ave.,41.9689735,-87.67403032,4801 N. Ravenswood Ave.,773-929-7050,Affordable Housing,
84,Property Type: Multifamily,126 S. Central Ave.,41.87849467,-87.76494803,Rebecca Walker Complex,773-261-1550,Affordable Housing,
85,Property Type: Disabled/Homeless,3543 W. Chicago Ave.,41.89535898,-87.71557516,West Humboldt Place,773-826-1230,Affordable Housing,
86,Property Type: Multifamily,1129 S. Sacramento Ave.,41.86736961,-87.70066623,Dicksons Estates Apts.,773-638-0386,Affordable Housing,
87,Property Type: Multifamily,2237 W. Maypole Ave.,41.88380799,-87.68281702,Westhaven Park Phase IIA,312-455-0009,Affordable Housing,
88,Property Type: Multifamily,1313 W. 19th St.,41.85597939,-87.65939108,Casa Guanajuato,312-666-1323,Affordable Housing,
89,Property Type: Multifamily,3607 W. Polk St.,41.87072555,-87.71590797,Homan Square Apartments Phase V,773-722-7320,Affordable Housing,
90,Property Type: Multifamily,216 S. Hoyne Ave.,41.87812559,-87.67915413,Near West Side Apts.,312-738-2280,Affordable Housing,
91,Property Type: Supportive,1519 W. Warren Blvd.,41.88227183,-87.66598098,Harvest Commons,312-660-1354,Affordable Housing,
92,Property Type: Supportive/Veterans,6002 S. Halsted St.,41.78499449,-87.64506314,Hope Manor II Apts.,773-874-3610,Affordable Housing,
93,Property Type: Multifamily,1128 E. Bowen Ave.,41.81894603,-87.59897812,Lakefront Phase II,773-548-8795,Affordable Housing,
94,Property Type: Multifamily,3541 W. North Ave.,41.90989234,-87.71605298,Madres Unidas (scattered sites),773-276-5338 ext. 225,Affordable Housing,
95,Property Type: Multifamily,1060 E. 41st St.,41.82035789,-87.60043601,Lakefront Phase II,773-548-8795,Affordable Housing,
96,Property Type: Multifamily,3145 W. Franklin Blvd.,41.88996815,-87.70572940000001,Nelson Mandela Apts.,773-227-6332,Affordable Housing,
97,Property Type: Multifamily,927 W. Wilson Ave.,41.96533937,-87.65347906,Uptown Preservation Apts.,773-286-5400,Affordable Housing,
98,Property Type: Multifamily,4130 S. Oakenwald Ave.,41.81938039,-87.59887932,Lakefront Phase II,773-548-8795,Affordable Housing,
99,Property Type: ARO,300 W. Hill St.,41.90219524,-87.63592092,Atrium at Old Town Park,312-642-8707,Affordable Housing,
100,Property Type: Supportive,727 W. Lake St.,41.8855647,-87.64685508,Lake Street Studios,312-274-8200,Affordable Housing,
101,Property Type: Senior,10400-30 S. Michigan Ave.,41.70534195,-87.62064503,Roseland Ridge Senior Apts.,773-548-8301,Affordable Housing,
102,Property Type: Multifamily,320 S. Maplewood Ave.,41.87698195,-87.69022214,City Gardens,844-842-2779,Affordable Housing,
103,Property Type: Multifamily,607 N. Sawyer Ave.,41.89215341,-87.70752657,Nelson Mandela Apts.,773-227-6332,Affordable Housing,
104,Property Type: Multifamily,6129 S. Cottage Grove Ave.,41.78317579,-87.60584352,The Grant at Woodlawn Pk Phase II,312-283-0030,Affordable Housing,
105,Property Type: Multifamily,1200 N. Clybourn Ave.,41.90378958,-87.63982077,Clybourn 1200,312-477-7442,Affordable Housing,
106,Property Type: Multifamily,3506 S. State St.,41.83078218,-87.62679018,Park Boulevard IB,773-548-8792,Affordable Housing,
107,Property Type: Senior,2517 W. Fullerton Ave.,41.9247621,-87.69066098,Renaissance West,773-862-2500,Affordable Housing,
108,Property Type: Multifamily,705-23 S. Independence Ave.,41.87244138,-87.71958599,Liberty Square Apts.,773-538-3800,Affordable Housing,
109,Property Type: ARO,2404-14 W. Cortland St.,41.91586948,-87.68763427,2400 Cortland,312-489-1600,Affordable Housing,
110,Property Type: ARO,1038-40 N. Ashland Ave.,41.90089079,-87.66757227,1038 N. Ashland,312-600-4501,Affordable Housing,
111,Property Type: Multifamily,6956 S. Vincennes Ave.,41.76751603,-87.62717205,Englewood Gardens,773-994-4830,Affordable Housing,
112,Property Type: Multifamily,5701 S. Michigan Ave.,41.79098039,-87.62222411,Michigan Plaza (St. Edmund's Plaza),773-548-8924,Affordable Housing,
113,Property Type: Multifamily,614 N. Spaulding Ave.,41.89237005,-87.70904868,Nelson Mandela Apts.,773-227-6332,Affordable Housing,
114,Property Type: Senior,3836 W. Cermak Road,41.85170274,-87.72132688,Tabernacle Apts.,773-762-3389,Affordable Housing,
115,Property Type: Multifamily,803 E. 61st St.,41.783951,-87.60584338,Trianon Lofts,773-955-8668,Affordable Housing,
116,Property Type: Multifamily,7020 S. Jeffrey Blvd.,41.76735295,-87.57647796,Jeffrey Towers Apts.,872-777-4924,Affordable Housing,
117,Property Type: Multifamily,1745 N. Keystone Ave.,41.91299036,-87.72750391,Bloomingdale Apts.,773-276-2965,Affordable Housing,
118,Property Type: Multifamily,1955 N. St. Louis Ave.,41.91725524,-87.71338923,Zapata Apts.,773-227-6332,Affordable Housing,
119,Property Type: Supportive Housing,1801 S. Wabash St.,41.85779292,-87.62546237,The Studios,312-326-5200,Affordable Housing,
120,Property Type: Multifamily,2753 W. Division St.,41.90281875,-87.69652556,La Estancia,773-227-6332,Affordable Housing,
121,Property Type: Senior,7538 S. Kingston Ave.,41.75787127,-87.56285983,Rainbow's End,773-768-5402,Affordable Housing,
122,Property Type: Multifamily,848-58 E. 65th St.,41.77690925,-87.60395378,65th Street Apts.,773-684-2056,Affordable Housing,
123,Property Type: Senior,3755 S. Cottage Grove Ave.,41.82631731,-87.60794545,Oakwood Shores Terrace,773-373-1300,Affordable Housing,
124,Property Type: Multifamily,3640 S. State St.,41.82792531,-87.62663572,Park Boulevard IIA,773-548-8792,Affordable Housing,
125,Property Type: Senior,2260 E. 99th St.,41.71539824,-87.56871495,Porta Coeli Residence,773-374-2470,Affordable Housing,
126,Property Type: Supportive Housing,5628-30 S. Halsted St.,41.79162782,-87.64523321,Branch of Hope Apts.,773-488-7205,Affordable Housing,
127,Property Type: Senior,1200 E. 78th St.,41.75332086,-87.5954564,Montclare Senior Residences of Avalon Park,773-933-9000,Affordable Housing,
128,Property Type: Multifamily,4845 S. Western Blvd.,41.80531018,-87.68362994,Senior Suites of New City,773-523-9333,Affordable Housing,
129,Property Type: Senior,2355 E. 67th St.,41.77343579,-87.56778382,Senior Suites of South Shore,773-324-2333,Affordable Housing,
130,Property Type: Senior,6057 N. Lincoln Ave.,41.99186565,-87.70954508,Lincoln Village Senior Apts.,773-338-5900,Affordable Housing,
131,Property Type: Artist Live/Work Space,436 E. 47th St.,41.80952057,-87.61482402,Bronzeville Artists Lofts,773-324-1745,Affordable Housing,
132,Property Type: Multifamily,1120 E. Bowen Ave.,41.81886099,-87.59923619,Lakefront Phase II,773-548-8795,Affordable Housing,
133,Property Type: Multifamily,1750 N. Spaulding Ave.,41.91332565,-87.71031714,Spaulding Apartments,773-381-7400,Affordable Housing,
134,Property Type: Senior,727 E. 50th Pl,41.80303973,-87.60775489,Evans Langley,312-368-8610,Affordable Housing,
135,Property Type: Multifamily,1137 E. Bowen Ave.,41.81886863,-87.59851524,Lakefront Phase II,773-548-8795,Affordable Housing,
136,Property Type: Seniors,6800 S. Keating Ave.,41.76947523,-87.74048606,Senior Suites of Midway Village,888-339-2315,Affordable Housing,
137,Property Type: Senior,4054 N. Kedzie Ave.,41.95553133,-87.70820786,Senior Residence at Kedzie,773-381-7400,Affordable Housing,
138,Property Type: Multifamily,17 W. 36th St.,41.82906211,-87.62716568,Park Boulevard IIA,773-548-8792,Affordable Housing,
139,Property Type: Supportive Housing,1527-31 N. Wicker Park Ave.,41.90876874,-87.67689152,Wicker Park Renaissance,773-278-8602,Affordable Housing,
140,Property Type: ARO,1664 W. Division St.,41.90341508,-87.66997144,Centrum Wicker Park,312-368-3000,Affordable Housing,
141,Property Type: Senior,6928 N. Wayne Ave.,42.00757377,-87.66517114,Morse Senior Apts.,312-602-6207,Affordable Housing,
142,Property Type: Senior,460 E. 41st St.,41.82038154,-87.61438244,Bronzeville Senior Apts.,773-924-2100,Affordable Housing,
143,Property Type: Supportive/Veterans,1045 N. Sacramento Blvd.,41.90048723,-87.70160663,65th Infantry Boringueneers Apts.,773-772-4801,Affordable Housing,
144,Property Type: Multifamily,"1318,1456 N. Rockwell Ave.",41.905458,-87.69216188,Borinquen Bella Apts.,773-276-5338,Affordable Housing,
145,Property Type: Supportive/Teenage Moms,5327 W. Chicago Ave.,41.89479143,-87.75927048,Home for New Moms,773-610-7696,Affordable Housing,
146,Property Type: Multifamily,701-27 E. 43rd St.,41.81666609,-87.60905996,Hearts United II-The Quincy (scattered sites),773-924-2100,Affordable Housing,
147,Property Type: Multifamily,2639 W. 12th Pl,41.86555368,-87.69250717,Park Douglas,773-893-4800,Affordable Housing,
148,Property Type: ARO,2501 W. Armitage Ave.,41.91744385,-87.68988362,2501 Armitage,312-255-1153,Affordable Housing,
149,Property Type: Multifamily,1262-1300 S. Washtenaw Ave.,41.86468333,-87.69350477,Park Douglas,773-893-4800,Affordable Housing,
150,Property Type: ARO,1414-48 W. 21st St.,41.85434832,-87.66187526,Woodwork Lofts,312-576-7392,Affordable Housing,
151,Property Type: Multifamily,3734 W. Cortland St.,41.91552353,-87.72061073,Zapata Apts.,773-227-6332,Affordable Housing,
152,Property Type: Senior,1626 W. 87th St.,41.73588515,-87.66414272,Auburn Commons,773-238-0850,Affordable Housing,
153,Property Type: Multifamily,4752 S. Wabash Ave.,41.80769903,-87.62455959,Progressive Square,773-975-7234,Affordable Housing,
154,Property Type: ARO,1100 N. Ashland Ave.,41.901559000000006,-87.66759184,East Village Lofts,773-218-7500,Affordable Housing,
155,Property Type: Multifamily,601 N. Drake Ave,41.89190162,-87.71483993,Rosa Parks Apts.,773-227-6332,Affordable Housing,
156,Property Type: Multifamily,3633 S. State St.,41.82865019,-87.62635888,Park Boulevard IIB,773-548-8792,Affordable Housing,
157,Property Type: Multifamily,223 E. 41st St.,41.82007455,-87.6204233,Legends South - Coleman Place,773-268-0202,Affordable Housing,
158,Property Type: Senior,6565 S. Yale Ave.,41.77466762,-87.6315302,Yale Building,773-224-7669,Affordable Housing,
159,Property Type: Multifamily,1125 E. Bowen Ave.,41.81871188,-87.59894571,Lakefront Phase II,773-548-8795,Affordable Housing,
160,Property Type: ARO,4015-23 N. Narragansett Ave.,41.95344562,-87.78643375,4015 Narragansett LLC,708-867-3799,Affordable Housing,
161,Property Type: Multifamily,4878 N. Magnolia Ave.,41.97121983,-87.66124806,Magnolia Court Apts.,773-878-2186,Affordable Housing,
162,Property Type: Multifamily,528 N. Troy St.,41.89123228,-87.70534012,Nelson Mandela Apts.,773-227-6332,Affordable Housing,
163,Property Type: Multifamily,1714 W. 19th St.,41.85603287,-87.66936057,Casa Oaxaca,312-666-1323,Affordable Housing,
164,Property Type: Multifamily,3500 W. Ohio St.,41.89192949,-87.71382831,Nelson Mandela Apts.,773-227-6332,Affordable Housing,
165,Property Type: Supportive Housing,8200 S. Ellis Ave.,41.74575696,-87.60031991,Karibuni Place,773-873-0708,Affordable Housing,
166,Property Type: Multifamily,4143 S. Lake Park Ave.,41.81881289,-87.59996595,Lakefront Phase II,773-548-8795,Affordable Housing,
167,Property Type: Multifamily,722-46 E. Bowen Ave.,41.81957647,-87.60848349,Hearts United I-The Langston (scattered sites),773-924-2100,Affordable Housing,
168,Property Type: Multifamily,215 E. 61st St.,41.78370163,-87.61994272,St. Edmund's Oasis,773-493-2411,Affordable Housing,
169,Property Type: Senior,300 E. 26th Street,41.8457959,-87.62040337,G&A Senior Residences at Eastgate Village,773-381-7400,Affordable Housing,
170,Property Type: Multifamily,747 E. 47th St.,41.80941355,-87.60708556,Shops & Lofts at 47,855-618-4959,Affordable Housing,
171,Property Type: Multifamily,532 N. Trumbull Ave.,41.89123533,-87.71267502,Rosa Parks Apts.,773-227-6332,Affordable Housing,
172,Property Type: Multifamily,6522 S. Ingleside Ave.,41.77610371,-87.60232857,65th Street Apts.,773-684-2056,Affordable Housing,
173,Property Type: Supportive Housing,1333 N. Kingsbury St.,41.905731,-87.64964597,The Midwest/Carroll Park Apts.,312-337-5339,Affordable Housing,
174,Property Type: Multifamily,2700 S. Drake Ave.,41.84247656,-87.71366715,Casa Sor Juana,312-850-1935,Affordable Housing,
175,Property Type: Multifamily,50 N. Hoyne Ave.,41.8828067,-87.67926811,St. Andrew's Court,312-226-7620,Affordable Housing,
176,Property Type: Multifamily,963 W Cullerton St.,41.85517479999999,-87.65062753,Casa Guerrero,312-666-1323,Affordable Housing,
177,Property Type: Senior,2715 N. Cicero Ave.,41.93012657,-87.74638854,Senior Suites of Kelvyn Park,773-252-0333,Affordable Housing,
178,Property Type: Senior,1050 W. 79th St.,41.75064862,-87.65092232,Senior Suites of Auburn-Gresham,773-723-0333,Affordable Housing,
179,Property Type: Multifamily,1723-33 N. Humboldt Blvd.,41.91280865,-87.70180006,Boulevard Court Family Housing,773-486-7410,Affordable Housing,
180,Property Type: Senior,2825 S. Halsted St.,41.84272915,-87.64624727,Senior Suites of Bridgeport,312-326-0333,Affordable Housing,
181,Property Type: Supportive Housing,500 W. Englewood Ave.,41.78090936,-87.63761782,Rowan Trees Apts.,773-572-5272,Affordable Housing,
182,Property Type: Multifamily,3230 W. Armitage Ave,41.91749465,-87.70826581,Zapata Apts.,773-227-6332,Affordable Housing,
183,Property Type: Senior,13037 S. Daniel Dr.,41.65793125,-87.61591740000001,Concordia Apts.,773-995-5200,Affordable Housing,
184,Property Type: Multifamily,8440 S. Parnell Ave.,41.74018636,-87.63781991,Stone Terrace,773-651-9234,Affordable Housing,
185,Property Type: Multifamily,6253 S. Michigan Ave.,41.78040369,-87.62183749,St. Edmund's Village,773-493-2411,Affordable Housing,
186,Property Type: Multifamily,3118 W. Franklin Blvd.,41.89019948,-87.70473978,Nelson Mandela Apts.,773-227-6332,Affordable Housing,
187,Property Type: Multifamily,2030 S. State St.,41.85453503,-87.62726774,Hilliard Homes Phase I,312-225-7610,Affordable Housing,
188,Property Type: Multifamily,1712 W. 17th St.,41.85876878,-87.66938208,Casa Chiapas,312-666-1323,Affordable Housing,
189,Property Type: Supportive Housing,901 W. 63rd Street,41.77959999,-87.64726896,Englewood Apts.,773-994-3199,Affordable Housing,
190,Property Type: Senior,7430 S. Rockwell St.,41.75815411,-87.68810611,Senior Suites of Marquette Village,773-432-8420,Affordable Housing,
191,Property Type: Multifamily,6450 S. Stony Island Ave.,41.77728699,-87.58649335,WECAN,773-288-3000,Affordable Housing,
192,Property Type: Multifamily,541 N. Homan Ave.,41.89148035,-87.71116895,Rosa Parks Apts.,773-227-6332,Affordable Housing,
193,Property Type: Multifamily,633 E. 50th St.,41.8039101,-87.61014176,Cornerstone Apts.,312-577-5555,Affordable Housing,
194,Property Type: ARO,5822 N. Western Ave.,41.98752226,-87.68971871,"5822 North Western, LLC",773-572-2755,Affordable Housing,
195,Property Type: Multifamily,2015 S. Morgan St.,41.85480194,-87.65132697,Casa Morelos,312-666-1323,Affordable Housing,
196,Property Type: ARO,710 W. Grand Ave.,41.89131063,-87.64632446,Seven 10 West,414-369-3511,Affordable Housing,
197,Property Type: Multifamily,505 N. Troy St.,41.89052242,-87.70502546,Nelson Mandela Apts.,773-227-6332,Affordable Housing,
198,Property Type: Multifamily,4600 S. Wood St.,41.81028546,-87.67002227,Casa Hidalgo,312-248-8355,Affordable Housing,
199,Property Type: Multifamily,1106 E. 42nd Pl,41.81813912,-87.59936268,Lakefront Phase II,773-548-8795,Affordable Housing,
200,Property Type: Senior,5041 S. Princeton Ave.,41.80241312,-87.63305258,Fellowship Manor,773-924-5980,Affordable Housing,
201,Property Type: Senior HUD 202,8019-55 S. Halsted St.,41.74822238,-87.6438257,Naomi & Sylvester Smith Senior Living Ctr.,773-651-6400,Affordable Housing,
202,Property Type: Senior,5040 N. Kenmore Ave.,41.97449607,-87.65651102,Kenmore Senior Housing,773-769-3006,Affordable Housing,
203,Property Type: ARO,1838 W. Chicago Ave.,41.89607519,-87.67373584,Luxe on Chicago,312-424-6225,Affordable Housing,
204,Property Type: Senior,1818 W. Peterson Ave.,41.99084916,-87.67599309,G & A Senior Residences at Ravenswood,773-381-7400,Affordable Housing,
205,Property Type: ARO,1623 N. Talman Ave.,41.91097205,-87.69319452,Homer Townhomes,773-975-7234,Affordable Housing,
206,Property Type: ARO,2328-48 N. California Ave.,41.92365685,-87.69753123,Noca Blu,707-483-8708,Affordable Housing,
207,Property Type: Senior,1600 N. Talman Ave.,41.91034383,-87.69347132,North & Talman Elderly Apts.,773-486-7410,Affordable Housing,
208,Property Type: Senior,5700 N. Sheridan Road,41.9856411,-87.65538854,Hollywood House Apts.,773-728-2600,Affordable Housing,
209,Property Type: Multifamily,401 E. Bowen Ave.,41.81922851,-87.61645178,Paul G. Stewart Phase III Tower,312-924-2100,Affordable Housing,
